sku,name,brand,color,size,mrp,price,quantity
TSHIRT-RED-001,Classic Cotton T-Shirt,StreamThreads,Red,M,799,499,20
TSHIRT-BLK-002,Classic Cotton T-Shirt,StreamThreads,Black,L,799,549,12
POLO-GRN-003,Heritage Polo,StreamThreads,Green,XL,1299,999,8
JEANS-BLU-032,Slim Fit Jeans,DenimWorks,Blue,32,1999,1599,15
JEANS-BLK-030,Slim Fit Jeans,DenimWorks,Black,30,1999,1499,18
DRESS-PNK-S,Floral Summer Dress,BloomWear,Pink,S,2499,2199,10
DRESS-YLW-M,Floral Summer Dress,BloomWear,Yellow,M,2499,1999,7
SHOE-WHT-7,Everyday Sneakers,StrideLab,White,UK7,2999,2499,25
SHOE-NVY-8,Everyday Sneakers,StrideLab,Navy,UK8,2999,2499,19
BAG-TOTE-BEI,Canvas Tote Bag,CarryCo,Beige,OneSize,899,699,35
